guid,title,pubDate,description,link,media
https://www.hindustantimes.com/mumbai-news/mumbai-braces-for-traffic-jams-as-heavy-rain-waterlogging-likely-on-monday/story-u1cmBtyv8edvDrxTod3SoO.html,"Heavy rains lash Mumbai, local train services delayed as city braces for traffic...","Mon, 25 Jun 2018 03:11:08 GMT ","The traffic police have kept heavy bandobast on the Western Express Highway, SV Road and Link Road in the Western Suburbs because of Mumbai rains. ",https://www.hindustantimes.com/mumbai-news/mumbai-braces-for-traffic-jams-as-heavy-rain-waterlogging-likely-on-monday/story-u1cmBtyv8edvDrxTod3SoO.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2018/06/25/Pictures/_940a3536-7820-11e8-b46a-be68571826e9.jpg
https://www.hindustantimes.com/india-news/major-arrested-in-meerut-for-murdering-army-officer-s-wife-in-delhi-report/story-zxOoAlDjQ2gQMPAXtPYlAP.html,"Army Major was 'obsessed' with officer's wife, killed her because she spurned his...","Mon, 25 Jun 2018 02:00:19 GMT ","The 35-year-old wife of an Indian Army major was murdered and run over by a vehicle near the Delhi Cantonment metro station in west Delhi on Saturday afternoon, police said.",https://www.hindustantimes.com/india-news/major-arrested-in-meerut-for-murdering-army-officer-s-wife-in-delhi-report/story-zxOoAlDjQ2gQMPAXtPYlAP.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2018/06/25/Pictures/army-major-nikhil-handa_31683b1c-781b-11e8-b46a-be68571826e9.jpg
https://www.hindustantimes.com/india-news/shujaat-bukhari-gunned-down-by-militants-on-orders-from-pakistan-says-j-k-police/story-6JZDSd45sUmbHjVX76ykLL.html,"Shujaat Bukhari gunned down by militants on orders from Pakistan, says J-K Poli...","Mon, 25 Jun 2018 01:49:00 GMT ","The officers, who are directly involved in investigations, said that Shujaat Bukhari was gunned down by terrorists on instructions from across the border, most probably for trying to promote peace in the Valley.",https://www.hindustantimes.com/india-news/shujaat-bukhari-gunned-down-by-militants-on-orders-from-pakistan-says-j-k-police/story-6JZDSd45sUmbHjVX76ykLL.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2018/06/25/Pictures/india-kashmir-journalist-killed_e0a85622-7819-11e8-b46a-be68571826e9.jpg
https://www.hindustantimes.com/india-news/it-s-all-about-loving-your-parents-writes-karan-johar-let-s-talk-about-our-elderly/story-7zz99jz2hRF2pKRs4Ugs5I.html,"It's all about loving your parents, writes Karan Johar | Let's Talk About Our E...","Mon, 25 Jun 2018 01:44:11 GMT ","In the first of a five-part series on the elderly, filmmaker Karan Johar writes about how his parents shaped his life",https://www.hindustantimes.com/india-news/it-s-all-about-loving-your-parents-writes-karan-johar-let-s-talk-about-our-elderly/story-7zz99jz2hRF2pKRs4Ugs5I.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2018/06/24/Pictures/_b889d5ba-7767-11e8-ad22-53d0ea2909b4.jpg
https://www.hindustantimes.com/football/fifa-world-cup-2018-clinical-colombia-send-poland-packing-with-3-0-win/story-nJ5YJ3DWakYqY9ZY1WWe6M.html,FIFA World Cup 2018: Clinical Colombia send Poland packing with 3-0 win,"Mon, 25 Jun 2018 01:37:33 GMT ","Radamel Falcao scored his first FIFA World Cup goal as Colombia revived their hopes of reaching the knockout phase with a 3-0 victory over Poland, who now cannot reach the last 16. ",https://www.hindustantimes.com/football/fifa-world-cup-2018-clinical-colombia-send-poland-packing-with-3-0-win/story-nJ5YJ3DWakYqY9ZY1WWe6M.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2018/06/25/Pictures/world-cup-group-h-poland-vs-colombia_98944ce0-7816-11e8-b46a-be68571826e9.jpg
https://www.hindustantimes.com/india-news/sushma-swaraj-trolled-over-lucknow-inter-faith-couple-s-passport-row/story-oaEEzNtfeO2nDrBMmdiaYP.html,Sushma Swaraj trolled over Lucknow inter-faith couple's passport row,"Sun, 24 Jun 2018 06:04:23 GMT ",External affairs minister Sushma Swaraj was trolled on Twitter over a controversy involving the issuance of passport to an inter-faith couple.,https://www.hindustantimes.com/india-news/sushma-swaraj-trolled-over-lucknow-inter-faith-couple-s-passport-row/story-oaEEzNtfeO2nDrBMmdiaYP.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2018/06/24/Pictures/annual-press-conference-sushma-swaraj-india-delhi_c5fe7dd0-77d1-11e8-ad22-53d0ea2909b4.jpg
https://www.hindustantimes.com/delhi-news/delhi-participates-in-chipko-movement-to-save-14-000-trees-from-felling/story-4QfK3m3uleQXYv3Qe86WGO.html,"Delhi participates in 'Chipko' movement to save 14,000 trees from felling","Sun, 24 Jun 2018 05:35:09 GMT ","The participants hugged the trees that are to be felled, tied green ribbons around the trees symbolising rakhis and shouted slogans. ",https://www.hindustantimes.com/delhi-news/delhi-participates-in-chipko-movement-to-save-14-000-trees-from-felling/story-4QfK3m3uleQXYv3Qe86WGO.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2018/06/24/Pictures/tree-protection-protest-environment-sarojini-nagar-delhi_d13d59d0-77d3-11e8-ad22-53d0ea2909b4.jpg
https://www.hindustantimes.com/india-news/bjp-disowned-its-own-initiative-former-j-k-chief-minister-mehbooba-mufti-hits-back-in-anger/story-oAxth53XHqymdQZqKhOiHM.html,BJP 'disowned its own initiative': Former J-K chief minister Mehbooba Mufti hits...,"Sun, 24 Jun 2018 11:36:26 GMT ","Mehbooba Mufti, who led the coalition government in Jammu and Kashmir, wrote on Twitter to express her opinion after  the state came under governor’s rule on June 20.",https://www.hindustantimes.com/india-news/bjp-disowned-its-own-initiative-former-j-k-chief-minister-mehbooba-mufti-hits-back-in-anger/story-oAxth53XHqymdQZqKhOiHM.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2018/06/24/Pictures/srinagar-gestures-addresses-kashmir-conference-minister-mehbooba_abcf47ba-7799-11e8-ad22-53d0ea2909b4.jpg
https://www.hindustantimes.com/analysis/we-need-a-level-playing-field-for-all-women-athletes/story-5H7fbFnDqhbGZRJ803Q2rK.html,We need a level playing field for all women athletes,"Fri, 22 Jun 2018 02:26:43 GMT ","We know through lived experience that biological sex is diverse. There are chromosomal, hormonal and genital variations, and any classification on the basis of science is exclusionary — especially in sporting events",https://www.hindustantimes.com/analysis/we-need-a-level-playing-field-for-all-women-athletes/story-5H7fbFnDqhbGZRJ803Q2rK.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2018/06/21/Pictures/athletics_230abd28-751f-11e8-ada9-0239ece95d2f.jpg
https://www.hindustantimes.com/editorials/on-separation-of-migrant-families-better-sense-prevails/story-v0YFryjkoDzbzWtSPK8vbI.html,"On separation of migrant families, better sense prevails","Thu, 21 Jun 2018 11:27:03 GMT ","President Donald Trump has rolled back his policy of separating babies and children from their parents as part of a crackdown on illegal migrants following widespread outrage and condemnation, but there is no word yet on how thousands of children being held in detention centres will be reunited with their families. ",https://www.hindustantimes.com/editorials/on-separation-of-migrant-families-better-sense-prevails/story-v0YFryjkoDzbzWtSPK8vbI.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2018/06/21/Pictures/donald-trump_15f76f84-7527-11e8-ad22-53d0ea2909b4.jpg
https://www.hindustantimes.com/dehradun/remove-all-encroachments-around-corbett-within-24-hours-hc-tells-govt/story-FGKtd1fPxDmE5CWpBv647J.html,Remove all encroachments around Corbett within 24 hours: HC tells govt,"Wed, 20 Jun 2018 05:09:08 GMT ",The court also directed the government to file FIRs against the encroachers as well as the state officials who were posted in Nainital and Almora during the period when the encroachments came up,https://www.hindustantimes.com/dehradun/remove-all-encroachments-around-corbett-within-24-hours-hc-tells-govt/story-FGKtd1fPxDmE5CWpBv647J.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2018/06/20/Pictures/corbett-tiger-reserve-in-uttarakhand-ht_a011c754-74ab-11e8-bebf-140e718967a9.jpg
